id,version,employeeId,yearMonth,workDays,overtimeHours
A_E0001_01_2026,3,E0001,2026-01,26,12.0
A_E0001_01_2027,3,E0001,2027-01,26,12.0
A_E0002_01_2026,2,E0002,2026-01,20,2.6
A_E0002_01_2027,2,E0002,2027-01,20,2.6
A_E0003_01_2026,1,E0003,2026-01,23,8.8
A_E0003_01_2027,1,E0003,2027-01,23,8.8
A_E0004_01_2026,1,E0004,2026-01,22,2.4
A_E0004_01_2027,1,E0004,2027-01,22,2.4
A_E0005_01_2026,1,E0005,2026-01,26,1.0
A_E0005_01_2027,1,E0005,2027-01,26,1.0
A_E0006_01_2026,1,E0006,2026-01,24,5.1
A_E0006_01_2027,1,E0006,2027-01,24,5.1
A_E0007_01_2026,1,E0007,2026-01,24,7.6
A_E0007_01_2027,1,E0007,2027-01,24,7.6
A_E0008_01_2026,1,E0008,2026-01,25,2.5
A_E0008_01_2027,1,E0008,2027-01,25,2.5
A_E0009_01_2026,1,E0009,2026-01,20,7.9
A_E0009_01_2027,1,E0009,2027-01,20,7.9
A_E0010_01_2026,1,E0010,2026-01,25,3.4
A_E0010_01_2027,1,E0010,2027-01,25,3.4
A_E0011_01_2026,1,E0011,2026-01,22,8.1
A_E0011_01_2027,1,E0011,2027-01,22,8.1
A_E0012_01_2026,1,E0012,2026-01,23,5.8
A_E0012_01_2027,1,E0012,2027-01,23,5.8
A_E0013_01_2026,1,E0013,2026-01,23,3.9
A_E0013_01_2027,1,E0013,2027-01,23,3.9
A_E0014_01_2026,1,E0014,2026-01,22,8.9
A_E0014_01_2027,1,E0014,2027-01,22,8.9
A_E0015_01_2026,1,E0015,2026-01,23,6.2
A_E0015_01_2027,1,E0015,2027-01,23,6.2
A_E0016_01_2026,1,E0016,2026-01,24,6.3
A_E0016_01_2027,1,E0016,2027-01,24,6.3
A_E0017_01_2026,1,E0017,2026-01,24,7.0
A_E0017_01_2027,1,E0017,2027-01,24,7.0
A_E0018_01_2026,1,E0018,2026-01,23,5.5
A_E0018_01_2027,1,E0018,2027-01,23,5.5
A_E0019_01_2026,1,E0019,2026-01,22,6.1
A_E0019_01_2027,1,E0019,2027-01,22,6.1
A_E0020_01_2026,1,E0020,2026-01,24,5.4
A_E0020_01_2027,1,E0020,2027-01,24,5.4
A_E0021_01_2026,1,E0021,2026-01,22,6.3
A_E0021_01_2027,1,E0021,2027-01,22,6.3
A_E0022_01_2026,1,E0022,2026-01,25,5.1
A_E0022_01_2027,1,E0022,2027-01,25,5.1
A_E0023_01_2026,1,E0023,2026-01,25,5.3
A_E0023_01_2027,1,E0023,2027-01,25,5.3
A_E0024_01_2026,1,E0024,2026-01,25,7.5
A_E0024_01_2027,1,E0024,2027-01,25,7.5
A_E0025_01_2026,1,E0025,2026-01,25,0.2
A_E0025_01_2027,1,E0025,2027-01,25,0.2
A_E0026_01_2026,1,E0026,2026-01,26,8.4
A_E0026_01_2027,1,E0026,2027-01,26,8.4
A_E0027_01_2026,1,E0027,2026-01,20,1.2
A_E0027_01_2027,1,E0027,2027-01,20,1.2
A_E0028_01_2026,1,E0028,2026-01,24,0.4
A_E0028_01_2027,1,E0028,2027-01,24,0.4
A_E0029_01_2026,1,E0029,2026-01,25,7.1
A_E0029_01_2027,1,E0029,2027-01,25,7.1
A_E0030_01_2026,1,E0030,2026-01,21,3.8
A_E0030_01_2027,1,E0030,2027-01,21,3.8
A_E0031_01_2026,1,E0031,2026-01,24,7.1
A_E0031_01_2027,1,E0031,2027-01,24,7.1
A_E0032_01_2026,1,E0032,2026-01,23,6.6
