id,version,employeeId,netSalary,status
PR_E0001_01_2026,5,E0001,2.9301E7,PROCESSED
PR_E0002_01_2026,5,E0002,5515000.0,PROCESSED
PR_E0003_01_2026,5,E0003,5688000.0,PROCESSED
PR_E0004_01_2026,5,E0004,8634000.0,PROCESSED
PR_E0005_01_2026,5,E0005,7050000.0,PROCESSED
PR_E0006_01_2026,5,E0006,2.5916E7,PROCESSED
PR_E0007_01_2026,5,E0007,9778000.0,PROCESSED
PR_E0008_01_2026,5,E0008,1.7632E7,PROCESSED
PR_E0009_01_2026,5,E0009,2.9743E7,PROCESSED
PR_E0010_01_2026,5,E0010,3.5498E7,PROCESSED
PR_E0011_01_2026,5,E0011,4.0705E7,PROCESSED
PR_E0012_01_2026,5,E0012,7411000.0,PROCESSED
PR_E0013_01_2026,5,E0013,2.4643E7,PROCESSED
PR_E0014_01_2026,5,E0014,3.2772E7,PROCESSED
PR_E0015_01_2026,5,E0015,6505000.0,PROCESSED
PR_E0016_01_2026,5,E0016,5811000.0,PROCESSED
PR_E0017_01_2026,5,E0017,1.7524E7,PROCESSED
PR_E0018_01_2026,5,E0018,6469000.0,PROCESSED
PR_E0019_01_2026,5,E0019,2.4033E7,PROCESSED
PR_E0020_01_2026,5,E0020,7696000.0,PROCESSED
PR_E0021_01_2026,5,E0021,5349000.0,PROCESSED
PR_E0022_01_2026,5,E0022,4.4924E7,PROCESSED
PR_E0023_01_2026,5,E0023,2.6993E7,PROCESSED
PR_E0024_01_2026,5,E0024,8125000.0,PROCESSED
PR_E0025_01_2026,5,E0025,5777000.0,PROCESSED
PR_E0026_01_2026,5,E0026,1.954E7,PROCESSED
PR_E0027_01_2026,5,E0027,4667000.0,PROCESSED
PR_E0028_01_2026,5,E0028,1.6667E7,PROCESSED
PR_E0029_01_2026,5,E0029,1.0127E7,PROCESSED
PR_E0030_01_2026,5,E0030,6680000.0,PROCESSED
PR_E0031_01_2026,5,E0031,9742000.0,PROCESSED
PR_E0032_01_2026,5,E0032,9322000.0,PROCESSED
PR_E0033_01_2026,5,E0033,1.0192E7,PROCESSED
PR_E0034_01_2026,5,E0034,6353000.0,PROCESSED
PR_E0035_01_2026,5,E0035,8251000.0,PROCESSED
PR_E0036_01_2026,5,E0036,7773000.0,PROCESSED
PR_E0037_01_2026,5,E0037,7580000.0,PROCESSED
PR_E0038_01_2026,5,E0038,4896000.0,PROCESSED
PR_E0039_01_2026,5,E0039,1.0149E7,PROCESSED
PR_E0040_01_2026,5,E0040,6372000.0,PROCESSED
PR_E0041_01_2026,5,E0041,6090000.0,PROCESSED
PR_E0042_01_2026,5,E0042,1.745E7,PROCESSED
PR_E0043_01_2026,5,E0043,1.7878E7,PROCESSED
PR_E0044_01_2026,5,E0044,4.6456E7,PROCESSED
PR_E0045_01_2026,5,E0045,1.4819E7,PROCESSED
PR_E0046_01_2026,5,E0046,6957000.0,PROCESSED
PR_E0047_01_2026,5,E0047,7255000.0,PROCESSED
PR_E0048_01_2026,5,E0048,5053000.0,PROCESSED
PR_E0049_01_2026,5,E0049,7413000.0,PROCESSED
PR_E0050_01_2026,5,E0050,2.6733E7,PROCESSED
PR_E0051_01_2026,5,E0051,5625000.0,PROCESSED
PR_E0052_01_2026,5,E0052,7340000.0,PROCESSED
PR_E0053_01_2026,5,E0053,8242000.0,PROCESSED
PR_E0054_01_2026,5,E0054,1.0781E7,PROCESSED
PR_E0055_01_2026,5,E0055,1.0867E7,PROCESSED
PR_E0056_01_2026,5,E0056,7944000.0,PROCESSED
PR_E0057_01_2026,5,E0057,6582000.0,PROCESSED
PR_E0058_01_2026,5,E0058,5812000.0,PROCESSED
PR_E0059_01_2026,5,E0059,6801000.0,PROCESSED
PR_E0060_01_2026,5,E0060,7346000.0,PROCESSED
PR_E0061_01_2026,5,E0061,6582000.0,PROCESSED
PR_E0062_01_2026,5,E0062,3.1707E7,PROCESSED
PR_E0063_01_2026,5,E0063,7290000.0,PROCESSED
PR_E0064_01_2026,5,E0064,8067000.0,PROCESSED
PR_E0065_01_2026,5,E0065,3.3464E7,PROCESSED
