balanceId,employeeId,leaveType,totalLeaveDays,usedLeaveDays,remainingLeaveDays,version
LB_E0001_PAID_LEAVE,E0001,PAID_LEAVE,18,0,18,0
LB_E0002_PAID_LEAVE,E0002,PAID_LEAVE,18,0,18,0
LB_E0003_PAID_LEAVE,E0003,PAID_LEAVE,18,4,14,1
LB_E0004_PAID_LEAVE,E0004,PAID_LEAVE,18,0,18,0
LB_E0005_PAID_LEAVE,E0005,PAID_LEAVE,18,4,14,1
LB_E0006_PAID_LEAVE,E0006,PAID_LEAVE,18,0,18,0
LB_E0007_PAID_LEAVE,E0007,PAID_LEAVE,18,0,18,0
LB_E0008_PAID_LEAVE,E0008,PAID_LEAVE,18,0,18,0
LB_E0009_PAID_LEAVE,E0009,PAID_LEAVE,18,0,18,0
LB_E0010_PAID_LEAVE,E0010,PAID_LEAVE,18,0,18,0
LB_E0011_PAID_LEAVE,E0011,PAID_LEAVE,18,0,18,0
LB_E0012_PAID_LEAVE,E0012,PAID_LEAVE,18,0,18,1
LB_E0013_PAID_LEAVE,E0013,PAID_LEAVE,18,0,18,0
LB_E0014_PAID_LEAVE,E0014,PAID_LEAVE,18,0,18,0
LB_E0015_PAID_LEAVE,E0015,PAID_LEAVE,18,0,18,0
LB_E0016_PAID_LEAVE,E0016,PAID_LEAVE,18,0,18,0
LB_E0017_PAID_LEAVE,E0017,PAID_LEAVE,18,0,18,0
LB_E0018_PAID_LEAVE,E0018,PAID_LEAVE,18,0,18,0
LB_E0019_PAID_LEAVE,E0019,PAID_LEAVE,18,0,18,0
LB_E0020_PAID_LEAVE,E0020,PAID_LEAVE,18,0,18,0
LB_E0021_PAID_LEAVE,E0021,PAID_LEAVE,18,0,18,0
LB_E0022_PAID_LEAVE,E0022,PAID_LEAVE,18,0,18,0
LB_E0023_PAID_LEAVE,E0023,PAID_LEAVE,18,0,18,0
LB_E0024_PAID_LEAVE,E0024,PAID_LEAVE,18,0,18,0
LB_E0025_PAID_LEAVE,E0025,PAID_LEAVE,18,0,18,0
LB_E0026_PAID_LEAVE,E0026,PAID_LEAVE,18,0,18,0
LB_E0027_PAID_LEAVE,E0027,PAID_LEAVE,18,0,18,0
LB_E0028_PAID_LEAVE,E0028,PAID_LEAVE,18,0,18,0
LB_E0029_PAID_LEAVE,E0029,PAID_LEAVE,18,0,18,0
LB_E0030_PAID_LEAVE,E0030,PAID_LEAVE,18,0,18,0
LB_E0031_PAID_LEAVE,E0031,PAID_LEAVE,18,0,18,0
LB_E0032_PAID_LEAVE,E0032,PAID_LEAVE,18,0,18,0
LB_E0033_PAID_LEAVE,E0033,PAID_LEAVE,18,0,18,0
LB_E0034_PAID_LEAVE,E0034,PAID_LEAVE,18,0,18,0
LB_E0035_PAID_LEAVE,E0035,PAID_LEAVE,18,0,18,0
LB_E0036_PAID_LEAVE,E0036,PAID_LEAVE,18,0,18,0
LB_E0037_PAID_LEAVE,E0037,PAID_LEAVE,18,0,18,0
LB_E0038_PAID_LEAVE,E0038,PAID_LEAVE,18,0,18,0
LB_E0039_PAID_LEAVE,E0039,PAID_LEAVE,18,0,18,0
LB_E0040_PAID_LEAVE,E0040,PAID_LEAVE,18,0,18,0
LB_E0041_PAID_LEAVE,E0041,PAID_LEAVE,18,0,18,0
LB_E0042_PAID_LEAVE,E0042,PAID_LEAVE,18,0,18,0
LB_E0043_PAID_LEAVE,E0043,PAID_LEAVE,18,0,18,0
