leaveId,employeeId,leaveType,startDate,endDate,reason,status,approvedBy
LR_E0013_01_2023,E0013,ANNUAL,2023-01-14,2023-01-15,Leave request,PENDING,
LR_E0026_01_2023,E0026,SICK,2023-01-05,2023-01-05,Leave request,PENDING,
LR_E0030_01_2023,E0030,ANNUAL,2023-01-12,2023-01-14,Leave request,PENDING,
LR_E0036_01_2023,E0036,ANNUAL,2023-01-17,2023-01-19,Leave request,PENDING,
LR_E0043_01_2023,E0043,SICK,2023-01-07,2023-01-09,Leave request,PENDING,
LR_E0044_01_2023,E0044,ANNUAL,2023-01-12,2023-01-14,Leave request,PENDING,
LR_E0057_01_2023,E0057,SICK,2023-01-05,2023-01-06,Leave request,PENDING,
LR_E0062_01_2023,E0062,SICK,2023-01-01,2023-01-02,Leave request,PENDING,
LR_E0065_01_2023,E0065,SICK,2023-01-09,2023-01-09,Leave request,PENDING,
LR_E0066_01_2023,E0066,ANNUAL,2023-01-14,2023-01-16,Leave request,PENDING,
LR_E0070_01_2023,E0070,ANNUAL,2023-01-03,2023-01-05,Leave request,PENDING,
LR_E0074_01_2023,E0074,SICK,2023-01-19,2023-01-19,Leave request,PENDING,
LR_E0079_01_2023,E0079,ANNUAL,2023-01-13,2023-01-14,Leave request,PENDING,
LR_E0085_01_2023,E0085,SICK,2023-01-15,2023-01-15,Leave request,PENDING,
LR_E0086_01_2023,E0086,ANNUAL,2023-01-01,2023-01-01,Leave request,PENDING,
LR_E0090_01_2023,E0090,ANNUAL,2023-01-10,2023-01-10,Leave request,PENDING,
LR_E0094_01_2023,E0094,ANNUAL,2023-01-07,2023-01-07,Leave request,PENDING,
LR_E0100_01_2023,E0100,SICK,2023-01-01,2023-01-02,Leave request,PENDING,
LR_E0104_01_2023,E0104,SICK,2023-01-15,2023-01-17,Leave request,PENDING,
LR_E0115_01_2023,E0115,ANNUAL,2023-01-13,2023-01-14,Leave request,PENDING,
LR_E0132_01_2023,E0132,ANNUAL,2023-01-18,2023-01-20,Leave request,PENDING,
LR_E0136_01_2023,E0136,ANNUAL,2023-01-06,2023-01-06,Leave request,PENDING,
LR_E0148_01_2023,E0148,ANNUAL,2023-01-14,2023-01-14,Leave request,PENDING,
