id,version,employeeId,netSalary,status
PR_E0001_01_2023,5,E0001,2.930192308E7,PROCESSED
PR_E0002_01_2023,5,E0002,5515865.38,PROCESSED
PR_E0003_01_2023,5,E0003,5688461.54,PROCESSED
PR_E0004_01_2023,5,E0004,8634615.38,PROCESSED
PR_E0005_01_2023,5,E0005,7050480.77,PROCESSED
PR_E0006_01_2023,5,E0006,2.591610577E7,PROCESSED
PR_E0007_01_2023,5,E0007,9778846.15,PROCESSED
PR_E0008_01_2023,5,E0008,1.763221154E7,PROCESSED
PR_E0009_01_2023,5,E0009,2.974326923E7,PROCESSED
PR_E0010_01_2023,5,E0010,3.549807692E7,PROCESSED
PR_E0011_01_2023,5,E0011,4.070552885E7,PROCESSED
PR_E0012_01_2023,5,E0012,7411538.46,PROCESSED
PR_E0013_01_2023,5,E0013,2.464399038E7,PROCESSED
PR_E0014_01_2023,5,E0014,3.277211538E7,PROCESSED
PR_E0015_01_2023,5,E0015,6505288.46,PROCESSED
PR_E0016_01_2023,5,E0016,5811057.69,PROCESSED
PR_E0017_01_2023,5,E0017,1.752403846E7,PROCESSED
PR_E0018_01_2023,5,E0018,6469951.92,PROCESSED
PR_E0019_01_2023,5,E0019,2.403389423E7,PROCESSED
PR_E0020_01_2023,5,E0020,7696153.85,PROCESSED
PR_E0021_01_2023,5,E0021,5349519.23,PROCESSED
PR_E0022_01_2023,5,E0022,4.492427885E7,PROCESSED
PR_E0023_01_2023,5,E0023,2.699350962E7,PROCESSED
PR_E0024_01_2023,5,E0024,8125000.0,PROCESSED
PR_E0025_01_2023,5,E0025,5777884.62,PROCESSED
PR_E0026_01_2023,5,E0026,1.954038462E7,PROCESSED
PR_E0027_01_2023,5,E0027,4667307.69,PROCESSED
PR_E0028_01_2023,5,E0028,1.666730769E7,PROCESSED
PR_E0029_01_2023,5,E0029,1.012740385E7,PROCESSED
PR_E0030_01_2023,5,E0030,6680769.23,PROCESSED
PR_E0031_01_2023,5,E0031,9742788.46,PROCESSED
PR_E0032_01_2023,5,E0032,9322115.38,PROCESSED
PR_E0033_01_2023,5,E0033,1.019230769E7,PROCESSED
PR_E0034_01_2023,5,E0034,6353846.15,PROCESSED
PR_E0035_01_2023,5,E0035,8251923.08,PROCESSED
PR_E0036_01_2023,5,E0036,7773076.92,PROCESSED
PR_E0037_01_2023,5,E0037,7580769.23,PROCESSED
PR_E0038_01_2023,5,E0038,4896634.62,PROCESSED
PR_E0039_01_2023,5,E0039,1.014903846E7,PROCESSED
PR_E0040_01_2023,5,E0040,6372115.38,PROCESSED
PR_E0041_01_2023,5,E0041,6090865.38,PROCESSED
PR_E0042_01_2023,5,E0042,1.745048077E7,PROCESSED
PR_E0043_01_2023,5,E0043,1.787884615E7,PROCESSED
PR_E0044_01_2023,5,E0044,4.645600962E7,PROCESSED
PR_E0045_01_2023,5,E0045,1.481971154E7,PROCESSED
PR_E0046_01_2023,5,E0046,6957932.69,PROCESSED
PR_E0047_01_2023,5,E0047,7255769.23,PROCESSED
PR_E0048_01_2023,5,E0048,5053846.15,PROCESSED
PR_E0049_01_2023,5,E0049,7413942.31,PROCESSED
PR_E0050_01_2023,5,E0050,2.673389423E7,PROCESSED
PR_E0051_01_2023,5,E0051,5625000.0,PROCESSED
PR_E0052_01_2023,5,E0052,7340384.62,PROCESSED
PR_E0053_01_2023,5,E0053,8242307.69,PROCESSED
PR_E0054_01_2023,5,E0054,1.078125E7,PROCESSED
PR_E0055_01_2023,5,E0055,1.086778846E7,PROCESSED
PR_E0056_01_2023,5,E0056,7944230.77,PROCESSED
PR_E0057_01_2023,5,E0057,6582692.31,PROCESSED
PR_E0058_01_2023,5,E0058,5812500.0,PROCESSED
PR_E0059_01_2023,5,E0059,6801923.08,PROCESSED
PR_E0060_01_2023,5,E0060,7346153.85,PROCESSED
PR_E0061_01_2023,5,E0061,6582692.31,PROCESSED
PR_E0062_01_2023,5,E0062,3.170769231E7,PROCESSED
PR_E0063_01_2023,5,E0063,7290384.62,PROCESSED
PR_E0064_01_2023,5,E0064,8067307.69,PROCESSED
PR_E0065_01_2023,5,E0065,3.346442308E7,PROCESSED
PR_E0066_01_2023,5,E0066,4675961.54,PROCESSED
PR_E0067_01_2023,5,E0067,5401442.31,PROCESSED
PR_E0068_01_2023,5,E0068,6512019.23,PROCESSED
PR_E0069_01_2023,5,E0069,6900000.0,PROCESSED
PR_E0070_01_2023,5,E0070,1.727740385E7,PROCESSED
PR_E0071_01_2023,5,E0071,5539903.85,PROCESSED
PR_E0072_01_2023,5,E0072,6412740.38,PROCESSED
PR_E0073_01_2023,5,E0073,8536538.46,PROCESSED
PR_E0074_01_2023,5,E0074,6537259.62,PROCESSED
PR_E0075_01_2023,5,E0075,6409375.0,PROCESSED
PR_E0076_01_2023,5,E0076,6789663.46,PROCESSED
PR_E0077_01_2023,5,E0077,2.9221875E7,PROCESSED
PR_E0078_01_2023,5,E0078,1.968317308E7,PROCESSED
PR_E0079_01_2023,5,E0079,1.420961538E7,PROCESSED
PR_E0080_01_2023,5,E0080,1.028605769E7,PROCESSED
PR_E0081_01_2023,5,E0081,5899038.46,PROCESSED
PR_E0082_01_2023,5,E0082,5297596.15,PROCESSED
PR_E0083_01_2023,5,E0083,4710576.92,PROCESSED
PR_E0084_01_2023,5,E0084,6813461.54,PROCESSED
PR_E0085_01_2023,5,E0085,2.376129808E7,PROCESSED
PR_E0086_01_2023,5,E0086,7442307.69,PROCESSED
PR_E0087_01_2023,5,E0087,3.685456731E7,PROCESSED
PR_E0088_01_2023,5,E0088,1.639038462E7,PROCESSED
PR_E0089_01_2023,5,E0089,1.598365385E7,PROCESSED
PR_E0090_01_2023,5,E0090,6528846.15,PROCESSED
PR_E0091_01_2023,5,E0091,7288461.54,PROCESSED
PR_E0092_01_2023,5,E0092,8312500.0,PROCESSED
PR_E0093_01_2023,5,E0093,3.126634615E7,PROCESSED
PR_E0094_01_2023,5,E0094,7259615.38,PROCESSED
PR_E0095_01_2023,5,E0095,3.340384615E7,PROCESSED
PR_E0096_01_2023,5,E0096,7386538.46,PROCESSED
PR_E0097_01_2023,5,E0097,7730769.23,PROCESSED
PR_E0098_01_2023,5,E0098,1.891730769E7,PROCESSED
PR_E0099_01_2023,5,E0099,2.185961538E7,PROCESSED
PR_E0100_01_2023,5,E0100,7032692.31,PROCESSED
PR_E0101_01_2023,5,E0101,8346153.85,PROCESSED
PR_E0102_01_2023,5,E0102,8858173.08,PROCESSED
PR_E0103_01_2023,5,E0103,6168750.0,PROCESSED
PR_E0104_01_2023,5,E0104,7226923.08,PROCESSED
PR_E0105_01_2023,5,E0105,5707211.54,PROCESSED
PR_E0106_01_2023,5,E0106,1.616538462E7,PROCESSED
PR_E0107_01_2023,5,E0107,2.133389423E7,PROCESSED
PR_E0108_01_2023,5,E0108,3.892067308E7,PROCESSED
PR_E0109_01_2023,5,E0109,7053846.15,PROCESSED
PR_E0110_01_2023,5,E0110,7403846.15,PROCESSED
PR_E0111_01_2023,5,E0111,1.704375E7,PROCESSED
PR_E0112_01_2023,5,E0112,4.086778846E7,PROCESSED
PR_E0113_01_2023,5,E0113,4892307.69,PROCESSED
PR_E0114_01_2023,5,E0114,4.343149038E7,PROCESSED
PR_E0115_01_2023,5,E0115,6449759.62,PROCESSED
PR_E0116_01_2023,5,E0116,1.060817308E7,PROCESSED
PR_E0117_01_2023,5,E0117,1.481105769E7,PROCESSED
PR_E0118_01_2023,5,E0118,7932692.31,PROCESSED
PR_E0119_01_2023,5,E0119,8038461.54,PROCESSED
PR_E0120_01_2023,5,E0120,5397115.38,PROCESSED
PR_E0121_01_2023,5,E0121,3.185480769E7,PROCESSED
PR_E0122_01_2023,5,E0122,2.855985577E7,PROCESSED
PR_E0123_01_2023,5,E0123,5855769.23,PROCESSED
PR_E0124_01_2023,5,E0124,3.335192308E7,PROCESSED
PR_E0125_01_2023,5,E0125,8217307.69,PROCESSED
PR_E0126_01_2023,5,E0126,5250000.0,PROCESSED
PR_E0127_01_2023,5,E0127,7811538.46,PROCESSED
PR_E0128_01_2023,5,E0128,2.572139423E7,PROCESSED
PR_E0129_01_2023,5,E0129,4.626129808E7,PROCESSED
PR_E0130_01_2023,5,E0130,6396153.85,PROCESSED
PR_E0131_01_2023,5,E0131,6540625.0,PROCESSED
PR_E0132_01_2023,5,E0132,4.642355769E7,PROCESSED
PR_E0133_01_2023,5,E0133,2.485817308E7,PROCESSED
PR_E0134_01_2023,5,E0134,6582692.31,PROCESSED
PR_E0135_01_2023,5,E0135,1.87875E7,PROCESSED
PR_E0136_01_2023,5,E0136,3.118846154E7,PROCESSED
PR_E0137_01_2023,5,E0137,3.725480769E7,PROCESSED
PR_E0138_01_2023,5,E0138,6347115.38,PROCESSED
PR_E0139_01_2023,5,E0139,6634615.38,PROCESSED
PR_E0140_01_2023,5,E0140,3.333461538E7,PROCESSED
PR_E0141_01_2023,5,E0141,2.867668269E7,PROCESSED
PR_E0142_01_2023,5,E0142,5652163.46,PROCESSED
PR_E0143_01_2023,5,E0143,5375480.77,PROCESSED
PR_E0144_01_2023,5,E0144,2.834134615E7,PROCESSED
PR_E0145_01_2023,5,E0145,6951201.92,PROCESSED
PR_E0146_01_2023,5,E0146,6542307.69,PROCESSED
PR_E0147_01_2023,5,E0147,3.676802885E7,PROCESSED
PR_E0148_01_2023,5,E0148,4.359375E7,PROCESSED
PR_E0149_01_2023,5,E0149,8369230.77,PROCESSED
PR_E0150_01_2023,5,E0150,3.922788462E7,PROCESSED
PR_E0151_01_2023,5,E0151,6853846.15,PROCESSED
PR_E0152_01_2023,5,E0152,1.963125E7,PROCESSED
PR_E0153_01_2023,5,E0153,9882211.54,PROCESSED
PR_E0154_01_2023,5,E0154,5287500.0,PROCESSED
PR_E0155_01_2023,5,E0155,1.681009615E7,PROCESSED
PR_E0156_01_2023,5,E0156,2.1178125E7,PROCESSED
PR_E0157_01_2023,5,E0157,2.131442308E7,PROCESSED
PR_E0158_01_2023,5,E0158,3.277211538E7,PROCESSED
PR_E0159_01_2023,5,E0159,5875961.54,PROCESSED
PR_E0160_01_2023,5,E0160,7400000.0,PROCESSED
PR_E0161_01_2023,5,E0161,7882692.31,PROCESSED
PR_E0162_01_2023,5,E0162,7903846.15,PROCESSED
PR_E0163_01_2023,5,E0163,1.783990385E7,PROCESSED
PR_E0164_01_2023,5,E0164,3.554134615E7,PROCESSED
PR_E0165_01_2023,5,E0165,1.593605769E7,PROCESSED
PR_E0166_01_2023,5,E0166,6087980.77,PROCESSED
PR_E0167_01_2023,5,E0167,3.9796875E7,PROCESSED
PR_E0168_01_2023,5,E0168,6080769.23,PROCESSED
PR_E0169_01_2023,5,E0169,8192307.69,PROCESSED
PR_E0170_01_2023,5,E0170,1.001201923E7,PROCESSED
PR_E0171_01_2023,5,E0171,6357211.54,PROCESSED
PR_E0172_01_2023,5,E0172,6617307.69,PROCESSED
PR_E0173_01_2023,5,E0173,5244230.77,PROCESSED
PR_E0174_01_2023,5,E0174,9936778.85,PROCESSED
PR_E0175_01_2023,5,E0175,2.195697115E7,PROCESSED
PR_E0176_01_2023,5,E0176,8178846.15,PROCESSED
PR_E0177_01_2023,5,E0177,8351923.08,PROCESSED
PR_E0178_01_2023,5,E0178,2.323557692E7,PROCESSED
PR_E0179_01_2023,5,E0179,5860817.31,PROCESSED
PR_E0180_01_2023,5,E0180,8625000.0,PROCESSED
